,happy,sad,disgusted,let down,fearful,bad,surprised,id,words
0,3,0,0,0,0,0,0,100,1179
1,2,0,0,0,0,0,0,99,655
2,3,1,1,0,0,0,0,98,657
3,1,1,0,1,0,0,0,97,704
4,3,0,0,1,1,1,0,96,1654
5,1,0,1,0,0,0,1,95,1570
6,1,0,0,0,0,0,0,94,320
7,4,0,0,0,0,0,0,93,1502
8,2,0,0,0,0,0,0,92,1431
9,2,3,0,1,0,0,0,91,1524
10,2,1,0,0,0,0,0,90,1326
11,5,2,0,3,0,2,0,89,1043
12,5,0,0,0,2,0,0,87,1837
13,1,1,0,0,0,3,0,86,1181
14,2,0,2,1,0,0,1,85,1571
15,5,0,0,0,0,2,0,84,1467
16,1,0,0,0,0,0,0,83,445
17,1,0,0,0,0,2,0,82,843
18,3,0,0,0,2,0,0,81,1144
19,1,0,0,0,0,0,0,80,943
20,5,0,0,0,0,0,0,79,1535
21,3,1,0,0,0,1,0,77,1093
22,4,0,0,0,0,1,0,76,1605
23,3,1,0,0,0,0,0,75,1326
24,1,0,0,1,0,0,2,74,1608
25,1,0,0,0,1,0,0,73,867
26,5,0,0,0,5,0,0,72,1991
27,1,0,0,1,2,0,0,71,857
28,1,0,0,0,0,0,0,70,930
29,2,0,0,0,0,0,0,69,1062
30,2,0,0,2,0,0,1,68,1045
31,3,2,0,0,0,0,0,67,1636
32,4,0,0,0,0,0,0,66,920
33,1,1,0,0,1,0,0,65,689
34,2,0,0,2,0,1,0,64,1346
35,2,1,0,1,0,1,0,63,1226
36,1,0,1,0,0,0,2,62,1272
37,1,1,0,2,0,0,0,61,1363
38,1,0,0,0,0,0,0,60,1292
39,3,4,0,1,0,0,0,58,1575
40,3,1,0,0,0,0,0,57,487
41,2,0,0,0,0,0,0,55,1141
42,1,0,0,0,0,0,0,54,1429
43,1,1,0,0,0,0,0,53,1041
44,3,0,0,0,0,0,0,52,1017
45,2,3,0,0,0,0,0,51,1076
46,3,1,0,0,0,0,2,50,1248
47,2,1,0,0,1,0,0,49,1233
48,1,0,0,0,0,3,1,48,1355
49,2,2,0,1,1,0,0,46,1602
50,1,9,0,0,0,1,0,45,1434
51,1,0,0,0,0,1,1,44,812
52,3,0,0,0,1,0,0,43,927
53,2,0,0,1,1,0,0,42,1025
54,1,0,0,0,0,0,0,41,1398
55,1,0,0,0,0,0,0,38,1145
56,1,0,1,0,0,1,0,37,1239
57,2,0,0,0,1,0,0,36,1231
58,3,0,0,1,1,0,0,35,1815
59,1,0,0,0,0,0,0,33,857
60,1,0,0,0,0,0,0,32,1508
61,1,0,0,0,0,0,1,31,1641
62,2,0,0,2,0,0,0,30,1318
63,2,1,0,0,0,0,0,28,1132
64,5,1,0,0,0,0,1,27,1513
65,3,1,0,0,3,0,0,26,2243
66,2,1,0,1,1,0,0,25,1503
67,1,2,0,1,0,0,0,24,1179
68,4,0,1,0,0,1,0,22,1130
69,5,1,0,0,1,2,0,21,1629
70,6,1,0,0,0,1,1,20,1626
71,9,0,0,0,0,0,0,18,1404
72,2,2,0,0,0,0,0,14,929
73,3,0,0,0,0,1,0,13,850
74,2,0,0,0,0,0,0,12,1552
75,3,0,0,0,0,0,0,10,1000
76,4,0,0,0,0,1,0,9,1640
77,3,2,0,0,0,0,0,8,1646
78,2,1,1,0,0,0,0,7,1368
79,2,0,0,0,0,0,0,6,989
80,1,3,0,0,0,1,0,5,1415
81,4,0,0,0,0,0,1,4,1143
82,1,1,0,0,1,0,0,2,1156
83,1,0,1,0,0,0,1,1,1554
